"sig.id"	"Immune.sig"	"UP.padj"	"UP.ES"	"UP.NES"	"tau"	"type"	"common_name"	"source"	"source_id"	"method"	"coef"	"consensus"	"MOA"	"Status"	"Target"	"DSS"
"sig_20688"	"Genes_UP"	0.00628930817610063	0.457281855602648	1.76543099231177	99.9627074398657	"D1"	"fluocinolone"	"LINCS"	NA	"LIMMA_t"	"trt"	1	"Unknown"	"Approved"	NA	0.628714265032751
"sig_9896"	"Genes_UP"	0.00746268656716418	0.444720633537318	1.70015768555313	98.0091570146728	"D1"	"folic-acid"	"LINCS"	"BRD-K18673820"	"LIMMA_t"	"trt"	1	"folate receptor ligand"	"Approved"	"FOLR2, FOLR3, SLC19A1, SLC46A1"	NA
"sig_7021"	"Genes_UP"	0.0188976377952756	0.415051991394336	1.59520518544819	96.3845036462302	"D1"	"valproic-acid"	"LINCS"	"BRD-K41260949"	"LIMMA_t"	"trt"	1	"HDAC inhibitor"	"Approved"	"ABAT, ACADSB, ALDH5A1, HDAC1, HDAC2, HDAC9, OGDH, SCN10A, SCN11A, SCN1A, SCN1B, SCN2A, SCN2B, SCN3A, SCN3B, SCN4A, SCN4B, SCN5A, SCN7A, SCN8A, SCN9A"	0.550181257192371
"sig_147"	"Genes_UP"	0.0210280373831776	-0.38195989837361	-1.4989999887119	-96.2876524048327	"D1"	"avrainvillamide-analog-5"	"LINCS"	"BRD-A70731303"	"LIMMA_t"	"trt"	1	"Unknown"	"Experimental"	NA	0.629998274614987
"sig_20430"	"Genes_UP"	0.00182481751824818	0.507355785408404	1.93078102904023	96.2014137565378	"D1"	"hydrocortisone"	"LINCS"	NA	"LIMMA_t"	"trt"	1	"glucocorticoid receptor agonist"	"Approved"	NA	0.626969696238125
"sig_6548"	"Genes_UP"	0.00530035335689046	0.412036148100491	1.62486955961865	96.0156181931269	"D1"	"cosmosiin"	"LINCS"	"BRD-K13642330"	"LIMMA_t"	"trt"	1	"Unknown"	"Experimental"	NA	0.637521201243583
"sig_20757"	"Genes_UP"	0.00325732899022801	0.458952271921954	1.74336607735171	95.4304594971207	"D1"	"anandamide"	"LINCS"	NA	"LIMMA_t"	"trt"	1	"cannabinoid receptor agonist"	"Experimental"	"CACNA1G, CACNA1H, CACNA1I, CNR1, CNR2, GLRA1, GPR18, GPR55, KCNA2, KCNK3, KCNK9, TRPM8, TRPV1"	NA
"sig_1912"	"Genes_UP"	0.00214592274678112	0.483680398963349	1.92119287452936	94.8799662081855	"D1"	"1-methylisoquinoline"	"LINCS"	"BRD-K02603382"	"LIMMA_t"	"trt"	1	"Unknown"	"Experimental"	NA	NA
"sig_2822"	"Genes_UP"	0.0136986301369863	0.418644165481059	1.58768448853869	94.3928120444998	"D1"	"scoulerine"	"LINCS"	"BRD-K62609077"	"LIMMA_t"	"trt"	1	"Unknown"	"Experimental"	NA	0.500435634970187
"sig_775"	"Genes_UP"	0.0137254901960784	-0.405746717864306	-1.54587256544819	-94.1000478376636	"D1"	"ephedrine"	"LINCS"	"BRD-A13982089"	"LIMMA_t"	"trt"	0	"adrenergic receptor agonist"	"Approved"	"ACHE, ADRA1A, ADRB2, SLC18A2, SLC6A2"	NA
"sig_2381"	"Genes_UP"	0.0208768267223382	-0.381608566149749	-1.46698431826419	-93.6459811181965	"D1"	"tropapride"	"LINCS"	"BRD-A98838152"	"LIMMA_t"	"trt"	1	"Unknown"	"Experimental"	NA	NA
"sig_1346"	"Genes_UP"	0.00211864406779661	0.45879318097483	1.74838625945164	93.556301068627	"D1"	"benzyl-quinazolin-4-yl-amine"	"LINCS"	"BRD-K43796186"	"LIMMA_t"	"trt"	1	"Unknown"	"Experimental"	NA	0.575573445691767
