"DB Signature Name"	"Jaccard"	"pValue"	"Input"	"FDR"
"KAECH_NAIVE_VS_DAY8_EFF_CD8_TCELL_UP"	"0.00740740740740741"	"0.322796142422551"	0.967396318419749	"Up signature"
"KAECH_NAIVE_VS_DAY8_EFF_CD8_TCELL_DN"	"0.0225563909774436"	"0.00103934008583718"	0.157013545925206	"Up signature"
"KAECH_NAIVE_VS_DAY15_EFF_CD8_TCELL_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"KAECH_NAIVE_VS_DAY15_EFF_CD8_TCELL_DN"	"0.0225563909774436"	"0.00103934008583718"	0.157013545925206	"Up signature"
"KAECH_NAIVE_VS_MEMORY_CD8_TCELL_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"KAECH_NAIVE_VS_MEMORY_CD8_TCELL_DN"	"0.0303030303030303"	"1.93096008155158e-05"	0.0109007778077485	"Up signature"
"KAECH_DAY8_EFF_VS_DAY15_EFF_CD8_TCELL_UP"	"0.0111524163568773"	"0.109585042244783"	0.80617912422328	"Up signature"
"KAECH_DAY8_EFF_VS_DAY15_EFF_CD8_TCELL_DN"	"0.00740740740740741"	"0.322796142422551"	0.967396318419749	"Up signature"
"KAECH_DAY8_EFF_VS_MEMORY_CD8_TCELL_UP"	"0.0149812734082397"	"0.0281597933042246"	0.567271493517391	"Up signature"
"KAECH_DAY8_EFF_VS_MEMORY_CD8_TCELL_DN"	"0.0111524163568773"	"0.109585042244783"	0.80617912422328	"Up signature"
"KAECH_DAY15_EFF_VS_MEMORY_CD8_TCELL_UP"	"0.0149812734082397"	"0.0281597933042246"	0.567271493517391	"Up signature"
"KAECH_DAY15_EFF_VS_MEMORY_CD8_TCELL_DN"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_UP"	"0"	"1"	1	"Up signature"
"GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_DN"	"0.0342205323193916"	"2.1352450130208e-06"	0.00152684253397741	"Up signature"
"GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_UP"	"0"	"1"	1	"Up signature"
"GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_DN"	"0.0264150943396226"	"0.000152597387258793"	0.0511487367418067	"Up signature"
"GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP"	"0.0187265917602996"	"0.00599451122535581"	0.326381357376479	"Up signature"
"GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_DN"	"0"	"1"	1	"Up signature"
"GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_DN"	"0"	"1"	1	"Up signature"
"GSE10239_NAIVE_VS_MEMORY_CD8_TCELL_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE10239_NAIVE_VS_MEMORY_CD8_TCELL_DN"	"0.0111524163568773"	"0.109585042244783"	0.80617912422328	"Up signature"
"GSE10239_NAIVE_VS_KLRG1INT_EFF_CD8_TCELL_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE10239_NAIVE_VS_KLRG1INT_EFF_CD8_TCELL_DN"	"0.00740740740740741"	"0.322796142422551"	0.967396318419749	"Up signature"
"GSE10239_NAIVE_VS_KLRG1HIGH_EFF_CD8_TCELL_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE10239_NAIVE_VS_KLRG1HIGH_EFF_CD8_TCELL_DN"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE10239_MEMORY_VS_KLRG1INT_EFF_CD8_TCELL_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE10239_MEMORY_VS_KLRG1INT_EFF_CD8_TCELL_DN"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE10239_MEMORY_VS_KLRG1HIGH_EFF_CD8_TCELL_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE10239_MEMORY_VS_KLRG1HIGH_EFF_CD8_TCELL_DN"	"0"	"1"	1	"Up signature"
"GSE10239_KLRG1INT_VS_KLRG1HIGH_EFF_CD8_TCELL_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE10239_KLRG1INT_VS_KLRG1HIGH_EFF_CD8_TCELL_DN"	"0.0111524163568773"	"0.109585042244783"	0.80617912422328	"Up signature"
"GSE10239_NAIVE_VS_DAY4.5_EFF_CD8_TCELL_UP"	"0.00740740740740741"	"0.322796142422551"	0.967396318419749	"Up signature"
"GSE10239_NAIVE_VS_DAY4.5_EFF_CD8_TCELL_DN"	"0.0111940298507463"	"0.108370448801107"	0.80617912422328	"Up signature"
"GSE10239_MEMORY_VS_DAY4.5_EFF_CD8_TCELL_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE10239_MEMORY_VS_DAY4.5_EFF_CD8_TCELL_DN"	"0.0037037037037037"	"0.688077807572184"	1	"Up signature"
"GSE10325_CD4_TCELL_VS_BCELL_UP"	"0.0149253731343284"	"0.0286121459997118"	0.567271493517391	"Up signature"
"GSE10325_CD4_TCELL_VS_BCELL_DN"	"0.0111524163568773"	"0.109585042244783"	0.80617912422328	"Up signature"
"GSE10325_CD4_TCELL_VS_MYELOID_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE10325_CD4_TCELL_VS_MYELOID_DN"	"0.0187265917602996"	"0.00599451122535581"	0.326381357376479	"Up signature"
"GSE10325_BCELL_VS_MYELOID_UP"	"0"	"1"	1	"Up signature"
"GSE10325_BCELL_VS_MYELOID_DN"	"0.0111524163568773"	"0.109585042244783"	0.80617912422328	"Up signature"
"GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_UP"	"0.00740740740740741"	"0.322796142422551"	0.967396318419749	"Up signature"
"GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_DN"	"0.0187265917602996"	"0.00599451122535581"	0.326381357376479	"Up signature"
"GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_DN"	"0.0225563909774436"	"0.00103934008583718"	0.157013545925206	"Up signature"
"GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_UP"	"0"	"1"	1	"Up signature"
"GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_DN"	"0.0111524163568773"	"0.109585042244783"	0.80617912422328	"Up signature"
"GSE10325_CD4_TCELL_VS_LUPUS_CD4_TCELL_UP"	"0.0111524163568773"	"0.109585042244783"	0.80617912422328	"Up signature"
"GSE10325_CD4_TCELL_VS_LUPUS_CD4_TCELL_DN"	"0.0187265917602996"	"0.00599451122535581"	0.326381357376479	"Up signature"
"GSE10325_BCELL_VS_LUPUS_BCELL_UP"	"0.0037037037037037"	"0.688077807572184"	1	"Up signature"
"GSE10325_BCELL_VS_LUPUS_BCELL_DN"	"0.0149253731343284"	"0.0286121459997118"	0.567271493517391	"Up signature"
"GSE10325_MYELOID_VS_LUPUS_MYELOID_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE10325_MYELOID_VS_LUPUS_MYELOID_DN"	"0.0149253731343284"	"0.0286121459997118"	0.567271493517391	"Up signature"
"GSE10463_CD40L_AND_VA347_VS_CD40L_IN_DC_UP"	"0"	"1"	1	"Up signature"
"GSE10463_CD40L_AND_VA347_VS_CD40L_IN_DC_DN"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE10856_CTRL_VS_TNFRSF6B_IN_MACROPHAGE_UP"	"0.0037037037037037"	"0.688077807572184"	1	"Up signature"
"GSE10856_CTRL_VS_TNFRSF6B_IN_MACROPHAGE_DN"	"0"	"1"	1	"Up signature"
"GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_DN"	"0.00740740740740741"	"0.322796142422551"	0.967396318419749	"Up signature"
"GSE11057_NAIVE_VS_CENT_MEMORY_CD4_TCELL_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE11057_NAIVE_VS_CENT_MEMORY_CD4_TCELL_DN"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE11057_NAIVE_CD4_VS_PBMC_CD4_TCELL_UP"	"0"	"1"	1	"Up signature"
"GSE11057_NAIVE_CD4_VS_PBMC_CD4_TCELL_DN"	"0.00740740740740741"	"0.322796142422551"	0.967396318419749	"Up signature"
"GSE11057_EFF_MEM_VS_CENT_MEM_CD4_TCELL_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE11057_EFF_MEM_VS_CENT_MEM_CD4_TCELL_DN"	"0.0037037037037037"	"0.688077807572184"	1	"Up signature"
"GSE11057_CD4_EFF_MEM_VS_PBMC_UP"	"0"	"1"	1	"Up signature"
"GSE11057_CD4_EFF_MEM_VS_PBMC_DN"	"0.0111524163568773"	"0.109585042244783"	0.80617912422328	"Up signature"
"GSE11057_CD4_CENT_MEM_VS_PBMC_UP"	"0"	"1"	1	"Up signature"
"GSE11057_CD4_CENT_MEM_VS_PBMC_DN"	"0.0111940298507463"	"0.108370448801107"	0.80617912422328	"Up signature"
"GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_DN"	"0"	"1"	1	"Up signature"
"GSE11057_PBMC_VS_MEM_CD4_TCELL_UP"	"0.0111524163568773"	"0.109585042244783"	0.80617912422328	"Up signature"
"GSE11057_PBMC_VS_MEM_CD4_TCELL_DN"	"0"	"1"	1	"Up signature"
"GSE11864_UNTREATED_VS_CSF1_IN_MAC_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE11864_UNTREATED_VS_CSF1_IN_MAC_DN"	"0"	"1"	1	"Up signature"
"GSE11864_UNTREATED_VS_CSF1_IFNG_IN_MAC_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE11864_UNTREATED_VS_CSF1_IFNG_IN_MAC_DN"	"0"	"1"	1	"Up signature"
"GSE11864_UNTREATED_VS_CSF1_PAM3CYS_IN_MAC_UP"	"0"	"1"	1	"Up signature"
"GSE11864_UNTREATED_VS_CSF1_PAM3CYS_IN_MAC_DN"	"0"	"1"	1	"Up signature"
"GSE11864_UNTREATED_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP"	"0"	"1"	1	"Up signature"
"GSE11864_UNTREATED_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN"	"0.00740740740740741"	"0.322796142422551"	0.967396318419749	"Up signature"
"GSE11864_CSF1_VS_CSF1_IFNG_IN_MAC_UP"	"0.00740740740740741"	"0.322796142422551"	0.967396318419749	"Up signature"
"GSE11864_CSF1_VS_CSF1_IFNG_IN_MAC_DN"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE11864_CSF1_VS_CSF1_PAM3CYS_IN_MAC_UP"	"0.00740740740740741"	"0.322796142422551"	0.967396318419749	"Up signature"
"GSE11864_CSF1_VS_CSF1_PAM3CYS_IN_MAC_DN"	"0"	"1"	1	"Up signature"
"GSE11864_CSF1_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP"	"0"	"1"	1	"Up signature"
"GSE11864_CSF1_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN"	"0.00740740740740741"	"0.322796142422551"	0.967396318419749	"Up signature"
"GSE11864_CSF1_IFNG_VS_CSF1_PAM3CYS_IN_MAC_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE11864_CSF1_IFNG_VS_CSF1_PAM3CYS_IN_MAC_DN"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE11864_CSF1_IFNG_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP"	"0"	"1"	1	"Up signature"
"GSE11864_CSF1_IFNG_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN"	"0.00740740740740741"	"0.322796142422551"	0.967396318419749	"Up signature"
"GSE11864_CSF1_PAM3CYS_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP"	"0"	"1"	1	"Up signature"
"GSE11864_CSF1_PAM3CYS_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN"	"0.0111524163568773"	"0.109585042244783"	0.80617912422328	"Up signature"
"GSE11924_TFH_VS_TH1_CD4_TCELL_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE11924_TFH_VS_TH1_CD4_TCELL_DN"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE11924_TFH_VS_TH2_CD4_TCELL_UP"	"0.00740740740740741"	"0.322796142422551"	0.967396318419749	"Up signature"
"GSE11924_TFH_VS_TH2_CD4_TCELL_DN"	"0"	"1"	1	"Up signature"
"GSE11924_TFH_VS_TH17_CD4_TCELL_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE11924_TFH_VS_TH17_CD4_TCELL_DN"	"0"	"1"	1	"Up signature"
"GSE11924_TH1_VS_TH2_CD4_TCELL_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE11924_TH1_VS_TH2_CD4_TCELL_DN"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE11924_TH1_VS_TH17_CD4_TCELL_UP"	"0.00740740740740741"	"0.322796142422551"	0.967396318419749	"Up signature"
"GSE11924_TH1_VS_TH17_CD4_TCELL_DN"	"0"	"1"	1	"Up signature"
"GSE11924_TH2_VS_TH17_CD4_TCELL_UP"	"0"	"1"	1	"Up signature"
"GSE11924_TH2_VS_TH17_CD4_TCELL_DN"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE12366_GC_BCELL_VS_PLASMA_CELL_UP"	"0"	"1"	1	"Up signature"
"GSE12366_GC_BCELL_VS_PLASMA_CELL_DN"	"0.00740740740740741"	"0.322796142422551"	0.967396318419749	"Up signature"
"GSE12366_GC_VS_NAIVE_BCELL_UP"	"0"	"1"	1	"Up signature"
"GSE12366_GC_VS_NAIVE_BCELL_DN"	"0.00740740740740741"	"0.322796142422551"	0.967396318419749	"Up signature"
"GSE12366_GC_VS_MEMORY_BCELL_UP"	"0"	"1"	1	"Up signature"
"GSE12366_GC_VS_MEMORY_BCELL_DN"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE12366_PLASMA_CELL_VS_NAIVE_BCELL_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE12366_PLASMA_CELL_VS_NAIVE_BCELL_DN"	"0.00740740740740741"	"0.322796142422551"	0.967396318419749	"Up signature"
"GSE12366_PLASMA_CELL_VS_MEMORY_BCELL_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE12366_PLASMA_CELL_VS_MEMORY_BCELL_DN"	"0.00740740740740741"	"0.322796142422551"	0.967396318419749	"Up signature"
"GSE12366_NAIVE_VS_MEMORY_BCELL_UP"	"0"	"1"	1	"Up signature"
"GSE12366_NAIVE_VS_MEMORY_BCELL_DN"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE12845_IGD_POS_VS_NEG_BLOOD_BCELL_UP"	"0"	"1"	1	"Up signature"
"GSE12845_IGD_POS_VS_NEG_BLOOD_BCELL_DN"	"0"	"1"	1	"Up signature"
"GSE12845_IGD_POS_BLOOD_VS_NAIVE_TONSIL_BCELL_UP"	"0"	"1"	1	"Up signature"
"GSE12845_IGD_POS_BLOOD_VS_NAIVE_TONSIL_BCELL_DN"	"0"	"1"	1	"Up signature"
"GSE12845_IGD_POS_BLOOD_VS_PRE_GC_TONSIL_BCELL_UP"	"0"	"1"	1	"Up signature"
"GSE12845_IGD_POS_BLOOD_VS_PRE_GC_TONSIL_BCELL_DN"	"0"	"1"	1	"Up signature"
"GSE12845_IGD_POS_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_UP"	"0.00740740740740741"	"0.322796142422551"	0.967396318419749	"Up signature"
"GSE12845_IGD_POS_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_DN"	"0"	"1"	1	"Up signature"
"GSE12845_IGD_NEG_BLOOD_VS_NAIVE_TONSIL_BCELL_UP"	"0.00740740740740741"	"0.322796142422551"	0.967396318419749	"Up signature"
"GSE12845_IGD_NEG_BLOOD_VS_NAIVE_TONSIL_BCELL_DN"	"0"	"1"	1	"Up signature"
"GSE12845_IGD_NEG_BLOOD_VS_PRE_GC_TONSIL_BCELL_UP"	"0"	"1"	1	"Up signature"
"GSE12845_IGD_NEG_BLOOD_VS_PRE_GC_TONSIL_BCELL_DN"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE12845_IGD_NEG_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_UP"	"0.0149253731343284"	"0.0286121459997118"	0.567271493517391	"Up signature"
"GSE12845_IGD_NEG_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_DN"	"0"	"1"	1	"Up signature"
"GSE12845_NAIVE_VS_PRE_GC_TONSIL_BCELL_UP"	"0"	"1"	1	"Up signature"
"GSE12845_NAIVE_VS_PRE_GC_TONSIL_BCELL_DN"	"0"	"1"	1	"Up signature"
"GSE12845_NAIVE_VS_DARKZONE_GC_TONSIL_BCELL_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE12845_NAIVE_VS_DARKZONE_GC_TONSIL_BCELL_DN"	"0.00740740740740741"	"0.322796142422551"	0.967396318419749	"Up signature"
"GSE12845_PRE_GC_VS_DARKZONE_GC_TONSIL_BCELL_UP"	"0"	"1"	1	"Up signature"
"GSE12845_PRE_GC_VS_DARKZONE_GC_TONSIL_BCELL_DN"	"0.00740740740740741"	"0.322796142422551"	0.967396318419749	"Up signature"
"GSE13229_IMM_VS_MATURE_NKCELL_UP"	"0"	"1"	1	"Up signature"
"GSE13229_IMM_VS_MATURE_NKCELL_DN"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE13229_IMM_VS_INTMATURE_NKCELL_UP"	"0"	"1"	1	"Up signature"
"GSE13229_IMM_VS_INTMATURE_NKCELL_DN"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE13229_MATURE_VS_INTMATURE_NKCELL_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE13229_MATURE_VS_INTMATURE_NKCELL_DN"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE13306_LAMINA_PROPRIA_VS_SPLEEN_TREG_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE13306_LAMINA_PROPRIA_VS_SPLEEN_TREG_DN"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE13306_TREG_VS_TCONV_LAMINA_PROPRIA_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE13306_TREG_VS_TCONV_LAMINA_PROPRIA_DN"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE13306_TREG_VS_TCONV_SPLEEN_UP"	"0.00740740740740741"	"0.322796142422551"	0.967396318419749	"Up signature"
"GSE13306_TREG_VS_TCONV_SPLEEN_DN"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE13306_TREG_RA_VS_TCONV_RA_UP"	"0"	"1"	1	"Up signature"
"GSE13306_TREG_RA_VS_TCONV_RA_DN"	"0"	"1"	1	"Up signature"
"GSE13306_TREG_VS_TCONV_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE13306_TREG_VS_TCONV_DN"	"0"	"1"	1	"Up signature"
"GSE13306_RA_VS_UNTREATED_TREG_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE13306_RA_VS_UNTREATED_TREG_DN"	"0.0111524163568773"	"0.109585042244783"	0.80617912422328	"Up signature"
"GSE13306_RA_VS_UNTREATED_TCONV_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE13306_RA_VS_UNTREATED_TCONV_DN"	"0"	"1"	1	"Up signature"
"GSE13306_RA_VS_UNTREATED_MEM_CD4_TCELL_UP"	"0.0111524163568773"	"0.109585042244783"	0.80617912422328	"Up signature"
"GSE13306_RA_VS_UNTREATED_MEM_CD4_TCELL_DN"	"0.0111524163568773"	"0.109585042244783"	0.80617912422328	"Up signature"
"GSE13411_NAIVE_VS_IGM_MEMORY_BCELL_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE13411_NAIVE_VS_IGM_MEMORY_BCELL_DN"	"0"	"1"	1	"Up signature"
"GSE13411_NAIVE_VS_SWITCHED_MEMORY_BCELL_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE13411_NAIVE_VS_SWITCHED_MEMORY_BCELL_DN"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE13411_NAIVE_BCELL_VS_PLASMA_CELL_UP"	"0"	"1"	1	"Up signature"
"GSE13411_NAIVE_BCELL_VS_PLASMA_CELL_DN"	"0"	"1"	1	"Up signature"
"GSE13411_NAIVE_VS_MEMORY_BCELL_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE13411_NAIVE_VS_MEMORY_BCELL_DN"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE13411_IGM_VS_SWITCHED_MEMORY_BCELL_UP"	"0.0111524163568773"	"0.109585042244783"	0.80617912422328	"Up signature"
"GSE13411_IGM_VS_SWITCHED_MEMORY_BCELL_DN"	"0.00740740740740741"	"0.322796142422551"	0.967396318419749	"Up signature"
"GSE13411_IGM_MEMORY_BCELL_VS_PLASMA_CELL_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE13411_IGM_MEMORY_BCELL_VS_PLASMA_CELL_DN"	"0.00740740740740741"	"0.322796142422551"	0.967396318419749	"Up signature"
"GSE13411_SWITCHED_MEMORY_BCELL_VS_PLASMA_CELL_UP"	"0.00740740740740741"	"0.322796142422551"	0.967396318419749	"Up signature"
"GSE13411_SWITCHED_MEMORY_BCELL_VS_PLASMA_CELL_DN"	"0.00740740740740741"	"0.322796142422551"	0.967396318419749	"Up signature"
"GSE13411_PLASMA_CELL_VS_MEMORY_BCELL_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE13411_PLASMA_CELL_VS_MEMORY_BCELL_DN"	"0"	"1"	1	"Up signature"
"GSE13484_UNSTIM_VS_3H_YF17D_VACCINE_STIM_PBMC_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE13484_UNSTIM_VS_3H_YF17D_VACCINE_STIM_PBMC_DN"	"0.00740740740740741"	"0.322796142422551"	0.967396318419749	"Up signature"
"GSE13484_UNSTIM_VS_12H_YF17D_VACCINE_STIM_PBMC_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE13484_UNSTIM_VS_12H_YF17D_VACCINE_STIM_PBMC_DN"	"0.00740740740740741"	"0.322796142422551"	0.967396318419749	"Up signature"
"GSE13484_3H_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP"	"0"	"1"	1	"Up signature"
"GSE13484_3H_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_DN"	"0.0225563909774436"	"0.00103934008583718"	0.157013545925206	"Up signature"
"GSE13484_12H_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP"	"0"	"1"	1	"Up signature"
"GSE13484_12H_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_DN"	"0.0225563909774436"	"0.00103934008583718"	0.157013545925206	"Up signature"
"GSE13484_12H_VS_3H_YF17D_VACCINE_STIM_PBMC_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE13484_12H_VS_3H_YF17D_VACCINE_STIM_PBMC_DN"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE13484_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP"	"0.003690036900369"	"0.689913393829218"	1	"Up signature"
"GSE13484_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_DN"	"0.0149253731343284"	"0.0286121459997118"	0.567271493517391	"Up signature"
"GSE13485_CTRL_VS_DAY1_YF17D_VACCINE_PBMC_UP"	"0"	"1"	1	"Up signature"
"GSE13485_CTRL_VS_DAY1_YF17D_VACCINE_PBMC_DN"	"0"	"1"	1	"Up signature"
"GSE13485_CTRL_VS_DAY3_YF17D_VACCINE_PBMC_UP"	"0.0037037037037037"	"0.688077807572184"	1	"Up signature"
"GSE13485_CTRL_VS_DAY3_YF17D_VACCINE_PBMC_DN"	"0.0225563909774436"	"0.00103934008583718"	0.157013545925206	"Up signature"
"GSE13485_CTRL_VS_DAY7_YF17D_VACCINE_PBMC_UP"	"0"	"1"	1	"Up signature"
"GSE13485_CTRL_VS_DAY7_YF17D_VACCINE_PBMC_DN"	"0.0187265917602996"	"0.00599451122535581"	0.326381357376479	"Up signature"
"GSE13485_CTRL_VS_DAY21_YF17D_VACCINE_PBMC_UP"	"0"	"1"	1	"Up signature"
"GSE13485_CTRL_VS_DAY21_YF17D_VACCINE_PBMC_DN"	"0"	"1"	1	"Up signature"
